Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3
Edtv,1999,Mario's Bohemian Cigar Store (Washington Square),,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,Rosie Perez
Edtv,1999,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)",,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,Rosie Perez
Edtv,1999,"Castro Theatre (429 Castro Street, The Castro)","The original Castro Theatre was built in 1910, a few doors down from the current theatre. The original theatre was converted into retail space, and the current theatre was built in the 1920s.",Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,Uma Thurman
Edtv,1999,20th & Connecticut Streets (Potrero Hill),,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,Uma Thurman
Edtv,1999,19 Green Street (North Beach),,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,Uma Thurman
Edtv,1999,1138 Filbert Street,,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,Uma Thurman
Edtv,1999,North Beach Video (1398 Grant Avenue at Green),The video store has since moved to an adjacent location. ,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,Rosie Perez
Escape From Alcatraz,1979,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Paramount Pictures,Paramount Pictures,Donald Siegel,Richard Tuggle,Clint Eastwood,Patrick McGoohan,Uma Thurman
Experiment in Terror,1962,George Washington High School (600 32nd Avenue ),,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District)",,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,The Sea Captain's Chest (Fisherman's Wharf),,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,"Sheraton Palace Hotel (2 Montgomery Street, Financial District)","The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909. ",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,Candlestick Park,"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,2632 Larkin Street at Lombard,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,100 St. Germain Avenue,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Experiment in Terror,1962,1 Montgomery Street at Post,,Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,
Faces of Death,1978,,,F.O.D Productions,Aquarius Releasing,Conan Le Cilaire,Alan Black,Michael Carr,,
Family Plot,1976,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Bruce Dern,Barbara Harris,
Family Plot,1976,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Bruce Dern,Barbara Harris,
Family Plot,1976,2230 Sacramento Street,"Called ""1001 Franklin"" in the film.",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Bruce Dern,Barbara Harris,
Family Plot,1976,Nob Hill,"Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroyed Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins. ",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Bruce Dern,Barbara Harris,
Fandom,2004,,,The Digital Golem,Cinequest Distribution,Nicholas Tucker,Nicholas Tucker & Mark Hefti,Mark Hefti,Peter Quintana,
Fat Man and Little Boy,1989,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Paramount Pictures,Paramount Pictures,Roland Joffe,Roland Joffe,Paul Newman,John Cusack,
Fathers' Day,1997,,,Northern Lights Entertainment,Columbia Broadcasting System,Ivan Reitman,Lowell Ganz,Robin Williams,Billy Crystal,
Fearless,1993,400 Montgomery Street,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,Folsom Street & Embarcadero,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,Varennes Alley between Filbert and Union,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County. ,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,Kohl Building (400 Montgomery Street),,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,Bank of America Building (555 California Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,90 Gold Street,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Fearless,1993,5th and Beale Streets,,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,
Final Analysis,1992,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels. ",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
Foul Play,1978,Fort Mason (Golden Gate National Recreation Area),"Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Final Analysis,1992,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)","In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
Final Analysis,1992,"Presidio, Golden Gate National Recreation Area","In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
Final Analysis,1992,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
Final Analysis,1992,Bix Restaurant (56 Gold Street),,Warner Bros. Pictures,Warner Bros. Pictures,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
Flower Drum Song,1961,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,
Flower Drum Song,1961,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,
Flubber,1997,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Walt Disney Pictures,Buena Vista Pictures,Les Mayfield,Samuel W. Taylor,Robin Williams,Marcia Gay Harden,
Forrest Gump,1994,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Paramount Pictures,Paramount Pictures,Robert Zemeckis,Eric Roth,Tom Hanks,Robin Wright,
40 Days and 40 Nights,2002,"The Walden House, Buena Vista Park","Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,
40 Days and 40 Nights,2002,Café Trieste (609 Vallejo),"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Café Trieste.",Miramax Films,Miramax Films,Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,
Foul Play,1978,War Memorial Opera House (401 Van Ness Avenue),In 1945 the United Nations had its first conference at The War Memorial Opera House.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Sutter & Buchannan Streets,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Sutter & Baker Streets,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Sacramento & Hyde Streets (Nob Hill),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church
Foul Play,1978,Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church
Foul Play,1978,Octavia & Hayes Streets (Hayes Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church
Foul Play,1978,Montgomery & Pine Streets (Financial District),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church
Foul Play,1978,Laguna & Sacramento Streets (Pacific Heights),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Thomas Haden Church
Foul Play,1978,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Golden Gate & Steiner Streets (Hayes Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,"Fort Point, Presidio","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Flood Building (870 Market Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,California & Larkin Streets (Nob Hill),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,"Asian Art Museum (200 Larkin Street, Civic Center)",The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,Andrew S. Hallidie Plaza (Market & Powell Streets),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,430 Vallejo Street (Telegraph Hill),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Foul Play,1978,24th and Castro Streets (Noe Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,
Freebie and the Bean,1974,Alco Plaza,,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Katherine Hepburn
Freebie and the Bean,1974,Twin Peaks,"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area ""called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,TransAmerica Pyramid (600 Montgomery Street),"The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center. ",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,Stockton Tunnel (Stockton Street at Sutter Street),"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,Potrero Hill,The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,Nob Hill,"Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroyed Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins. ",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,Hyatt Regency Hotel (5 Embarcadero Center),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,Folsom Street (SOMA),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,Embarcadero Freeway,,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,
Freebie and the Bean,1974,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Katherine Hepburn
Freebie and the Bean,1974,Broadway and Columbus Avenue (North Beach),,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Katherine Hepburn
Gentleman Jim,1942,The Barbary Coast,"The Barbary Coast was a red-light district that was largely destroyed in the 1906 earthquake. Though some of the establishments were rebuilt after the earthquake, an anti-vice campaign put the establishments out of business.",Warner Bros. Pictures,Warner Bros. Pictures,Raoul Walsh,Vincent Lawrence,Errol Flynn,,Katherine Hepburn
George of the Jungle,1997,755 Vallejo Street,,Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,
George of the Jungle,1997,The Tamalpais Building (1201 Greenwich Street at Hyde),,Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,
George of the Jungle,1997,"Neiman Marcus (150 Stockton Street, Union Square)",The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design.,Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,
George of the Jungle,1997,First Bank (550 Montgomery Street at Commercial),"Called ""Stanhope Bank"" in the film.",Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,
George of the Jungle,1997,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII. ",Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,
Getting Even with Dad,1994,California & Grant Streets,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Dutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
Getting Even with Dad,1994,War Memorial Building (401 Van Ness Avenue),,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
Getting Even with Dad,1994,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
Getting Even with Dad,1994,140 Maiden Lane,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,Connie Nielsen
Getting Even with Dad,1994,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
Getting Even with Dad,1994,"Neiman Marcus (150 Stockton Street, Union Square)",The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design.,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
Getting Even with Dad,1994,Mason Street at Jackson,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
Getting Even with Dad,1994,M.H. de Young Memorial Museum (Golden Gate Park),,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,John Heard
Getting Even with Dad,1994,Embarcadero Street Station- BART ,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,John Heard
Getting Even with Dad,1994,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,John Heard
God is a Communist?* (show me heart universe),2010,Sacramento & Washington Streets,,Trismegistus Productions,,Jon Poznanter,Jon Poznanter,John Wynn,,
Godzilla,2014,Kearney & Pine St.,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,California & Davis St,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Pine St. & Davis St,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Sacramento & Front St.,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Broadway & Sansome,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Broadway & Columbus,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Post & Jones St.,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Stockton & Clay St,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Bush & Kearny,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Mission & Fremont St,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Eddy & Taylor St.,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Pier 7 (The Embarcadero),,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Pier 1,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Embarcadero & Washington,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Mission & Beal,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Godzilla,2014,Potrero &San Bruno,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
Golden Gate,1994,Ross Alley (Chinatown),Ross Alley is the oldest alley in San Francisco. ,American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Wang,Matt Dillon,Joan Chen,
Golden Gate,1994,University of California Hastings College of the Law,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
Golden Gate,1994,Bush Street (between Grant & Kearny Streets),,American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Wang,Matt Dillon,Joan Chen,Bryce Dallas Howard
Golden Gate,1994,Buena Vista Park (Haight Street at Buena Vista),"Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Wang,Matt Dillon,Joan Chen,Bryce Dallas Howard
Golden Gate,1994,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Wang,Matt Dillon,Joan Chen,Bryce Dallas Howard
Greed,1924,Cliff House (1090 Point Lobos Avenue),"In 1887, the Cliff House was severely damaged when the schooner Parallel, abandoned and loaded with dynamite, ran aground on the rocks below.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim ,Zasu Pitts,,Cloris Leachman
Greed,1924,Bush and Sutter Streets,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim ,Zasu Pitts,,Cloris Leachman
Greed,1924,Hayes Street at Laguna,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim ,Zasu Pitts,,Cloris Leachman
Groove,2000,435 23rd Street at Illinois,,415 Productions,Sony Pictures Classics,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,Cloris Leachman
Groove,2000,435 23rd Street at Illinois,,415 Productions,Sony Pictures Classics,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,Cloris Leachman
Groove,2000,435 23rd Street at Illinois,,415 Productions,Sony Pictures Classics,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,Cloris Leachman
Guess Who's Coming to Dinner,1967,Sutter Street between Powell and Mason,,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Cloris Leachman
Guess Who's Coming to Dinner,1967,San Francisco International Airport,SFO has a museum dedicated to aviation history. ,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Cloris Leachman
